path,participant_id,sequence_id,sign
train_landmark_files/22343/1000638205.parquet,22343,1000638205,puzzle
train_landmark_files/27610/1007714989.parquet,27610,1007714989,puzzle
train_landmark_files/4718/1010899155.parquet,4718,1010899155,puzzle
train_landmark_files/22343/1034274193.parquet,22343,1034274193,puzzle
train_landmark_files/25571/1034951137.parquet,25571,1034951137,puzzle
train_landmark_files/49445/104061906.parquet,49445,104061906,puzzle
train_landmark_files/26734/1063712195.parquet,26734,1063712195,puzzle
train_landmark_files/36257/1072682010.parquet,36257,1072682010,puzzle
train_landmark_files/30680/1078433970.parquet,30680,1078433970,puzzle
train_landmark_files/36257/1082548136.parquet,36257,1082548136,puzzle
train_landmark_files/37055/1082837452.parquet,37055,1082837452,puzzle
train_landmark_files/36257/1084177722.parquet,36257,1084177722,puzzle
train_landmark_files/37055/1094624660.parquet,37055,1094624660,puzzle
train_landmark_files/4718/1097731981.parquet,4718,1097731981,puzzle
train_landmark_files/37055/1109497753.parquet,37055,1109497753,puzzle
train_landmark_files/62590/1113479383.parquet,62590,1113479383,puzzle
train_landmark_files/28656/1115124744.parquet,28656,1115124744,puzzle
train_landmark_files/22343/1119975622.parquet,22343,1119975622,puzzle
train_landmark_files/29302/1122384174.parquet,29302,1122384174,puzzle
train_landmark_files/61333/1148700648.parquet,61333,1148700648,puzzle
train_landmark_files/55372/1160283043.parquet,55372,1160283043,puzzle
train_landmark_files/16069/1164099968.parquet,16069,1164099968,puzzle
train_landmark_files/34503/1170938982.parquet,34503,1170938982,puzzle
train_landmark_files/16069/1181459855.parquet,16069,1181459855,puzzle
train_landmark_files/37055/1219142745.parquet,37055,1219142745,puzzle
train_landmark_files/62590/1232083854.parquet,62590,1232083854,puzzle
train_landmark_files/34503/1240612199.parquet,34503,1240612199,puzzle
train_landmark_files/36257/1241058154.parquet,36257,1241058154,puzzle
train_landmark_files/36257/1243426688.parquet,36257,1243426688,puzzle
train_landmark_files/28656/1254413849.parquet,28656,1254413849,puzzle
train_landmark_files/32319/1263855856.parquet,32319,1263855856,puzzle
train_landmark_files/62590/1285884938.parquet,62590,1285884938,puzzle
train_landmark_files/55372/1302245987.parquet,55372,1302245987,puzzle
train_landmark_files/27610/1307199982.parquet,27610,1307199982,puzzle
train_landmark_files/61333/1313160872.parquet,61333,1313160872,puzzle
train_landmark_files/4718/1320286090.parquet,4718,1320286090,puzzle
train_landmark_files/62590/1324892530.parquet,62590,1324892530,puzzle
train_landmark_files/61333/1326240310.parquet,61333,1326240310,puzzle
train_landmark_files/27610/1327357112.parquet,27610,1327357112,puzzle
train_landmark_files/2044/1356627920.parquet,2044,1356627920,puzzle
train_landmark_files/34503/1372125119.parquet,34503,1372125119,puzzle
train_landmark_files/27610/1376475606.parquet,27610,1376475606,puzzle
train_landmark_files/4718/1410361443.parquet,4718,1410361443,puzzle
train_landmark_files/2044/1415760245.parquet,2044,1415760245,puzzle
train_landmark_files/28656/141660098.parquet,28656,141660098,puzzle
train_landmark_files/61333/1481190312.parquet,61333,1481190312,puzzle
train_landmark_files/49445/1481815322.parquet,49445,1481815322,puzzle
train_landmark_files/25571/1505089291.parquet,25571,1505089291,puzzle
train_landmark_files/29302/1525671411.parquet,29302,1525671411,puzzle
train_landmark_files/28656/1529011543.parquet,28656,1529011543,puzzle
train_landmark_files/2044/1537522941.parquet,2044,1537522941,puzzle
train_landmark_files/26734/1549245162.parquet,26734,1549245162,puzzle
train_landmark_files/36257/1550132028.parquet,36257,1550132028,puzzle
train_landmark_files/27610/1553587746.parquet,27610,1553587746,puzzle
train_landmark_files/28656/1559462682.parquet,28656,1559462682,puzzle
train_landmark_files/25571/1567289636.parquet,25571,1567289636,puzzle
train_landmark_files/29302/1572196064.parquet,29302,1572196064,puzzle
train_landmark_files/55372/1579462214.parquet,55372,1579462214,puzzle
train_landmark_files/37055/1606664683.parquet,37055,1606664683,puzzle
train_landmark_files/29302/1608023357.parquet,29302,1608023357,puzzle
train_landmark_files/49445/1632585378.parquet,49445,1632585378,puzzle
train_landmark_files/55372/1656476458.parquet,55372,1656476458,puzzle
train_landmark_files/32319/1669640465.parquet,32319,1669640465,puzzle
train_landmark_files/27610/1672877449.parquet,27610,1672877449,puzzle
train_landmark_files/16069/1676633642.parquet,16069,1676633642,puzzle
train_landmark_files/18796/1684175654.parquet,18796,1684175654,puzzle
train_landmark_files/29302/1706216128.parquet,29302,1706216128,puzzle
train_landmark_files/37779/1721017449.parquet,37779,1721017449,puzzle
train_landmark_files/26734/1735902243.parquet,26734,1735902243,puzzle
train_landmark_files/49445/1752552129.parquet,49445,1752552129,puzzle
train_landmark_files/16069/1755415860.parquet,16069,1755415860,puzzle
train_landmark_files/26734/1755769896.parquet,26734,1755769896,puzzle
train_landmark_files/32319/1758931597.parquet,32319,1758931597,puzzle
train_landmark_files/4718/1761951588.parquet,4718,1761951588,puzzle
train_landmark_files/61333/176642678.parquet,61333,176642678,puzzle
train_landmark_files/26734/1777111558.parquet,26734,1777111558,puzzle
train_landmark_files/53618/178024108.parquet,53618,178024108,puzzle
train_landmark_files/16069/1787573788.parquet,16069,1787573788,puzzle
train_landmark_files/49445/1818500004.parquet,49445,1818500004,puzzle
train_landmark_files/25571/1845166854.parquet,25571,1845166854,puzzle
train_landmark_files/29302/1845913215.parquet,29302,1845913215,puzzle
train_landmark_files/16069/1850056514.parquet,16069,1850056514,puzzle
train_landmark_files/22343/1856683733.parquet,22343,1856683733,puzzle
train_landmark_files/61333/1878234384.parquet,61333,1878234384,puzzle
train_landmark_files/25571/1897639245.parquet,25571,1897639245,puzzle
train_landmark_files/16069/1906446100.parquet,16069,1906446100,puzzle
train_landmark_files/49445/1916744833.parquet,49445,1916744833,puzzle
train_landmark_files/28656/1938757464.parquet,28656,1938757464,puzzle
train_landmark_files/4718/1938830512.parquet,4718,1938830512,puzzle
train_landmark_files/2044/1943491238.parquet,2044,1943491238,puzzle
train_landmark_files/32319/1958465790.parquet,32319,1958465790,puzzle
train_landmark_files/62590/1965539287.parquet,62590,1965539287,puzzle
train_landmark_files/61333/1982271238.parquet,61333,1982271238,puzzle
train_landmark_files/34503/1997116222.parquet,34503,1997116222,puzzle
train_landmark_files/62590/2034092551.parquet,62590,2034092551,puzzle
train_landmark_files/27610/2035770119.parquet,27610,2035770119,puzzle
train_landmark_files/29302/2051873422.parquet,29302,2051873422,puzzle
train_landmark_files/55372/2058239468.parquet,55372,2058239468,puzzle
train_landmark_files/36257/2064488408.parquet,36257,2064488408,puzzle
train_landmark_files/2044/2092426784.parquet,2044,2092426784,puzzle
train_landmark_files/55372/2099185484.parquet,55372,2099185484,puzzle
train_landmark_files/29302/2104319919.parquet,29302,2104319919,puzzle
train_landmark_files/37779/2112622103.parquet,37779,2112622103,puzzle
train_landmark_files/37779/2124285290.parquet,37779,2124285290,puzzle
train_landmark_files/30680/2125244633.parquet,30680,2125244633,puzzle
train_landmark_files/32319/2130583073.parquet,32319,2130583073,puzzle
train_landmark_files/25571/2153379794.parquet,25571,2153379794,puzzle
train_landmark_files/62590/2155743169.parquet,62590,2155743169,puzzle
train_landmark_files/34503/2183627310.parquet,34503,2183627310,puzzle
train_landmark_files/32319/2186431225.parquet,32319,2186431225,puzzle
train_landmark_files/61333/2186603172.parquet,61333,2186603172,puzzle
train_landmark_files/32319/2189672852.parquet,32319,2189672852,puzzle
train_landmark_files/32319/2191770404.parquet,32319,2191770404,puzzle
train_landmark_files/61333/2196533050.parquet,61333,2196533050,puzzle
train_landmark_files/4718/2204617876.parquet,4718,2204617876,puzzle
train_landmark_files/26734/2213157683.parquet,26734,2213157683,puzzle
train_landmark_files/34503/2221236225.parquet,34503,2221236225,puzzle
train_landmark_files/32319/2237066127.parquet,32319,2237066127,puzzle
train_landmark_files/61333/223707983.parquet,61333,223707983,puzzle
train_landmark_files/32319/2284110360.parquet,32319,2284110360,puzzle
train_landmark_files/62590/2284229064.parquet,62590,2284229064,puzzle
train_landmark_files/26734/2328266554.parquet,26734,2328266554,puzzle
train_landmark_files/2044/2341622506.parquet,2044,2341622506,puzzle
train_landmark_files/16069/2361388091.parquet,16069,2361388091,puzzle
train_landmark_files/53618/2373213349.parquet,53618,2373213349,puzzle
train_landmark_files/36257/2373812457.parquet,36257,2373812457,puzzle
train_landmark_files/32319/2375932317.parquet,32319,2375932317,puzzle
train_landmark_files/37779/2376499380.parquet,37779,2376499380,puzzle
train_landmark_files/2044/2382738496.parquet,2044,2382738496,puzzle
train_landmark_files/49445/2383034498.parquet,49445,2383034498,puzzle
train_landmark_files/49445/2388602775.parquet,49445,2388602775,puzzle
train_landmark_files/37779/2395230990.parquet,37779,2395230990,puzzle
train_landmark_files/34503/240408456.parquet,34503,240408456,puzzle
train_landmark_files/36257/2421987889.parquet,36257,2421987889,puzzle
train_landmark_files/32319/2438229254.parquet,32319,2438229254,puzzle
train_landmark_files/34503/244251334.parquet,34503,244251334,puzzle
train_landmark_files/22343/2453844760.parquet,22343,2453844760,puzzle
train_landmark_files/29302/246091678.parquet,29302,246091678,puzzle
train_landmark_files/26734/2477858185.parquet,26734,2477858185,puzzle
train_landmark_files/49445/2478937502.parquet,49445,2478937502,puzzle
train_landmark_files/34503/2489009036.parquet,34503,2489009036,puzzle
train_landmark_files/16069/2500003171.parquet,16069,2500003171,puzzle
train_landmark_files/4718/2509955442.parquet,4718,2509955442,puzzle
train_landmark_files/2044/2525391072.parquet,2044,2525391072,puzzle
train_landmark_files/61333/2526488614.parquet,61333,2526488614,puzzle
train_landmark_files/49445/2534076733.parquet,49445,2534076733,puzzle
train_landmark_files/36257/2557338599.parquet,36257,2557338599,puzzle
train_landmark_files/32319/2557597502.parquet,32319,2557597502,puzzle
train_landmark_files/16069/2559968195.parquet,16069,2559968195,puzzle
train_landmark_files/37055/2562045484.parquet,37055,2562045484,puzzle
train_landmark_files/37055/2569521235.parquet,37055,2569521235,puzzle
train_landmark_files/37055/2572455569.parquet,37055,2572455569,puzzle
train_landmark_files/37779/2572794377.parquet,37779,2572794377,puzzle
train_landmark_files/37055/2578642849.parquet,37055,2578642849,puzzle
train_landmark_files/49445/258882154.parquet,49445,258882154,puzzle
train_landmark_files/26734/2596035371.parquet,26734,2596035371,puzzle
train_landmark_files/27610/2606257673.parquet,27610,2606257673,puzzle
train_landmark_files/37055/2608468610.parquet,37055,2608468610,puzzle
train_landmark_files/61333/2614284776.parquet,61333,2614284776,puzzle
train_landmark_files/55372/2639361815.parquet,55372,2639361815,puzzle
train_landmark_files/62590/264019642.parquet,62590,264019642,puzzle
train_landmark_files/61333/2644696732.parquet,61333,2644696732,puzzle
train_landmark_files/37779/2660571980.parquet,37779,2660571980,puzzle
train_landmark_files/53618/2694679883.parquet,53618,2694679883,puzzle
train_landmark_files/36257/271329585.parquet,36257,271329585,puzzle
train_landmark_files/22343/2716675649.parquet,22343,2716675649,puzzle
train_landmark_files/28656/2724020912.parquet,28656,2724020912,puzzle
train_landmark_files/16069/2729151175.parquet,16069,2729151175,puzzle
train_landmark_files/49445/2779083072.parquet,49445,2779083072,puzzle
train_landmark_files/22343/2804684011.parquet,22343,2804684011,puzzle
train_landmark_files/55372/2806874555.parquet,55372,2806874555,puzzle
train_landmark_files/2044/2825165221.parquet,2044,2825165221,puzzle
train_landmark_files/25571/2827334666.parquet,25571,2827334666,puzzle
train_landmark_files/26734/2828144248.parquet,26734,2828144248,puzzle
train_landmark_files/61333/2832596627.parquet,61333,2832596627,puzzle
train_landmark_files/37779/2836108660.parquet,37779,2836108660,puzzle
train_landmark_files/49445/2846406797.parquet,49445,2846406797,puzzle
train_landmark_files/27610/2849503864.parquet,27610,2849503864,puzzle
train_landmark_files/36257/2853601242.parquet,36257,2853601242,puzzle
train_landmark_files/62590/285691221.parquet,62590,285691221,puzzle
train_landmark_files/37055/2859551041.parquet,37055,2859551041,puzzle
train_landmark_files/29302/2890934697.parquet,29302,2890934697,puzzle
train_landmark_files/28656/2891787459.parquet,28656,2891787459,puzzle
train_landmark_files/29302/2910119054.parquet,29302,2910119054,puzzle
train_landmark_files/25571/2911978305.parquet,25571,2911978305,puzzle
train_landmark_files/53618/2922354131.parquet,53618,2922354131,puzzle
train_landmark_files/36257/292984853.parquet,36257,292984853,puzzle
train_landmark_files/27610/2941864928.parquet,27610,2941864928,puzzle
train_landmark_files/37055/2955094908.parquet,37055,2955094908,puzzle
train_landmark_files/26734/2956436573.parquet,26734,2956436573,puzzle
train_landmark_files/37779/2995638886.parquet,37779,2995638886,puzzle
train_landmark_files/61333/3003256219.parquet,61333,3003256219,puzzle
train_landmark_files/36257/3040319534.parquet,36257,3040319534,puzzle
train_landmark_files/29302/3042065326.parquet,29302,3042065326,puzzle
train_landmark_files/37055/306022602.parquet,37055,306022602,puzzle
train_landmark_files/55372/3065094580.parquet,55372,3065094580,puzzle
train_landmark_files/26734/3065403317.parquet,26734,3065403317,puzzle
train_landmark_files/55372/307783949.parquet,55372,307783949,puzzle
train_landmark_files/29302/3078647764.parquet,29302,3078647764,puzzle
train_landmark_files/25571/3082516705.parquet,25571,3082516705,puzzle
train_landmark_files/22343/3085005260.parquet,22343,3085005260,puzzle
train_landmark_files/2044/3102451208.parquet,2044,3102451208,puzzle
train_landmark_files/61333/3108008051.parquet,61333,3108008051,puzzle
train_landmark_files/32319/3117618230.parquet,32319,3117618230,puzzle
train_landmark_files/37779/3136077199.parquet,37779,3136077199,puzzle
train_landmark_files/16069/3164317468.parquet,16069,3164317468,puzzle
train_landmark_files/26734/3188537622.parquet,26734,3188537622,puzzle
train_landmark_files/29302/3190803080.parquet,29302,3190803080,puzzle
train_landmark_files/36257/3207578188.parquet,36257,3207578188,puzzle
train_landmark_files/2044/3220700343.parquet,2044,3220700343,puzzle
train_landmark_files/55372/3224828870.parquet,55372,3224828870,puzzle
train_landmark_files/55372/3259820492.parquet,55372,3259820492,puzzle
train_landmark_files/53618/3269912701.parquet,53618,3269912701,puzzle
train_landmark_files/2044/327698626.parquet,2044,327698626,puzzle
train_landmark_files/4718/3298381803.parquet,4718,3298381803,puzzle
train_landmark_files/28656/3298773118.parquet,28656,3298773118,puzzle
train_landmark_files/37779/3310086670.parquet,37779,3310086670,puzzle
train_landmark_files/25571/331349427.parquet,25571,331349427,puzzle
train_landmark_files/29302/3322339425.parquet,29302,3322339425,puzzle
train_landmark_files/62590/3338975550.parquet,62590,3338975550,puzzle
train_landmark_files/22343/3344639251.parquet,22343,3344639251,puzzle
train_landmark_files/16069/3348226321.parquet,16069,3348226321,puzzle
train_landmark_files/26734/3348852214.parquet,26734,3348852214,puzzle
train_landmark_files/61333/3355979207.parquet,61333,3355979207,puzzle
train_landmark_files/28656/3372549628.parquet,28656,3372549628,puzzle
train_landmark_files/55372/3372692161.parquet,55372,3372692161,puzzle
train_landmark_files/25571/3383238850.parquet,25571,3383238850,puzzle
train_landmark_files/16069/3392491256.parquet,16069,3392491256,puzzle
train_landmark_files/32319/3401337124.parquet,32319,3401337124,puzzle
train_landmark_files/53618/3418520532.parquet,53618,3418520532,puzzle
train_landmark_files/18796/3419272648.parquet,18796,3419272648,puzzle
train_landmark_files/62590/344392746.parquet,62590,344392746,puzzle
train_landmark_files/27610/3486152264.parquet,27610,3486152264,puzzle
train_landmark_files/29302/3531961063.parquet,29302,3531961063,puzzle
train_landmark_files/61333/3540368518.parquet,61333,3540368518,puzzle
train_landmark_files/55372/3545807220.parquet,55372,3545807220,puzzle
train_landmark_files/2044/3546740756.parquet,2044,3546740756,puzzle
train_landmark_files/29302/3590478901.parquet,29302,3590478901,puzzle
train_landmark_files/61333/3596198077.parquet,61333,3596198077,puzzle
train_landmark_files/34503/3630230564.parquet,34503,3630230564,puzzle
train_landmark_files/49445/3633272073.parquet,49445,3633272073,puzzle
train_landmark_files/34503/3670324503.parquet,34503,3670324503,puzzle
train_landmark_files/22343/3687695164.parquet,22343,3687695164,puzzle
train_landmark_files/62590/3700377432.parquet,62590,3700377432,puzzle
train_landmark_files/53618/372145324.parquet,53618,372145324,puzzle
train_landmark_files/26734/3744596154.parquet,26734,3744596154,puzzle
train_landmark_files/29302/3744947166.parquet,29302,3744947166,puzzle
train_landmark_files/36257/3753230824.parquet,36257,3753230824,puzzle
train_landmark_files/27610/3774304646.parquet,27610,3774304646,puzzle
train_landmark_files/4718/3778621171.parquet,4718,3778621171,puzzle
train_landmark_files/26734/3796261954.parquet,26734,3796261954,puzzle
train_landmark_files/34503/380555326.parquet,34503,380555326,puzzle
train_landmark_files/37055/3841103057.parquet,37055,3841103057,puzzle
train_landmark_files/36257/384554895.parquet,36257,384554895,puzzle
train_landmark_files/30680/3852924711.parquet,30680,3852924711,puzzle
train_landmark_files/53618/3860833267.parquet,53618,3860833267,puzzle
train_landmark_files/28656/386524104.parquet,28656,386524104,puzzle
train_landmark_files/34503/3880051175.parquet,34503,3880051175,puzzle
train_landmark_files/18796/3880215924.parquet,18796,3880215924,puzzle
train_landmark_files/37779/3885643995.parquet,37779,3885643995,puzzle
train_landmark_files/2044/3920853983.parquet,2044,3920853983,puzzle
