path,participant_id,sequence_id,sign
train_landmark_files/29302/100039661.parquet,29302,100039661,time
train_landmark_files/28656/1001158776.parquet,28656,1001158776,time
train_landmark_files/2044/1005467898.parquet,2044,1005467898,time
train_landmark_files/37779/1009663684.parquet,37779,1009663684,time
train_landmark_files/28656/1054086064.parquet,28656,1054086064,time
train_landmark_files/16069/1067826961.parquet,16069,1067826961,time
train_landmark_files/29302/1079165547.parquet,29302,1079165547,time
train_landmark_files/4718/108406521.parquet,4718,108406521,time
train_landmark_files/28656/109378174.parquet,28656,109378174,time
train_landmark_files/27610/1100842910.parquet,27610,1100842910,time
train_landmark_files/26734/1105715380.parquet,26734,1105715380,time
train_landmark_files/61333/1115529166.parquet,61333,1115529166,time
train_landmark_files/18796/1128696622.parquet,18796,1128696622,time
train_landmark_files/28656/1150467311.parquet,28656,1150467311,time
train_landmark_files/62590/1151875023.parquet,62590,1151875023,time
train_landmark_files/62590/1159530638.parquet,62590,1159530638,time
train_landmark_files/4718/1167696950.parquet,4718,1167696950,time
train_landmark_files/36257/116772402.parquet,36257,116772402,time
train_landmark_files/49445/1174918484.parquet,49445,1174918484,time
train_landmark_files/30680/1216293575.parquet,30680,1216293575,time
train_landmark_files/37055/1226049117.parquet,37055,1226049117,time
train_landmark_files/29302/1240859437.parquet,29302,1240859437,time
train_landmark_files/36257/1255107004.parquet,36257,1255107004,time
train_landmark_files/28656/1267488320.parquet,28656,1267488320,time
train_landmark_files/32319/1269838009.parquet,32319,1269838009,time
train_landmark_files/16069/1270186256.parquet,16069,1270186256,time
train_landmark_files/28656/1281527950.parquet,28656,1281527950,time
train_landmark_files/30680/1285117128.parquet,30680,1285117128,time
train_landmark_files/22343/1292433762.parquet,22343,1292433762,time
train_landmark_files/32319/1292447033.parquet,32319,1292447033,time
train_landmark_files/27610/1303385391.parquet,27610,1303385391,time
train_landmark_files/30680/1325758134.parquet,30680,1325758134,time
train_landmark_files/53618/1333396319.parquet,53618,1333396319,time
train_landmark_files/32319/1340272565.parquet,32319,1340272565,time
train_landmark_files/32319/1358873201.parquet,32319,1358873201,time
train_landmark_files/16069/138924455.parquet,16069,138924455,time
train_landmark_files/16069/1395692459.parquet,16069,1395692459,time
train_landmark_files/28656/1401491459.parquet,28656,1401491459,time
train_landmark_files/32319/1404925789.parquet,32319,1404925789,time
train_landmark_files/36257/1408917714.parquet,36257,1408917714,time
train_landmark_files/61333/1428507465.parquet,61333,1428507465,time
